text,industry,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
wrong size received,logistics,1,0,4,fallback_support,0,0,0
after day effect,logistics,1,1,4,fallback_support,1,0,0
delivery boy promised delivery but delayed,logistics,1,0,0,delay,0,2,2
delivery was too late compared to schedule,logistics,0,0,0,delay,0,3,2
poor delivery service overall,logistics,0,0,4,fallback_support,0,3,2
on time,logistics,1,1,4,fallback_support,2,0,0
one day late delivery,logistics,1,0,0,delay,0,0,1
false reporting without visit or call,logistics,0,0,4,support,1,0,1
item not received no delivery attempt,logistics,0,0,2,damage_lost,0,4,3
office jake lena pada service ekdam galat hai,logistics,0,0,4,fallback_support,1,0,1
confidential letter delivered to wrong person security risk,logistics,1,0,1,wrong_delivery,0,0,1
fantastic five star,logistics,2,2,4,fallback_support,2,1,0
ok good,logistics,2,2,4,fallback_support,2,1,0
delivery improvement required,logistics,1,1,4,fallback_support,1,0,0
satisfied with service,logistics,2,2,4,fallback_support,2,1,0
not delivered at my location,logistics,0,0,4,fallback_support,0,3,2
excellent fast service,logistics,2,2,4,fallback_support,2,1,0
delivery reached district but not delivered for days,logistics,0,0,4,fallback_support,0,3,2
very late delivery,logistics,0,0,0,delay,0,3,2
delivered to wrong person address,logistics,0,0,1,wrong_delivery,0,3,2
by my name correction required,logistics,1,1,4,fallback_support,1,0,0
product defective,logistics,0,0,4,fallback_support,1,0,1
delivery address marked incorrect falsely,logistics,0,0,4,fallback_support,0,3,2
punctuality,logistics,1,1,4,fallback_support,1,0,0
delivery not on time wrong info given,logistics,0,0,0,delay,0,3,2
no manner talk eldersneed improve interaction behaviour which cant insult client especially senior,logistics,0,0,3,behaviour,1,0,2
bad service delivery boy start call me from pm deliver at he call with different different number again again,logistics,0,0,4,support,0,3,2
delivery boy patience appreciated,logistics,2,2,4,fallback_support,2,1,0
delivery late no site update,logistics,0,0,0,delay,0,3,2
self pickup delivery failed,logistics,1,1,0,delay,1,0,1
very good service impressed,logistics,2,2,4,fallback_support,2,1,0
many times delivery avoided with false reasons no call made,logistics,0,0,3,behaviour,1,0,2
Nothing need to change,logistics,1,1,4,fallback_support,1,0,0
waited whole day no call delivery timing unclear,logistics,1,2,3,behaviour,1,0,0
product not delivered at all,logistics,0,0,4,fallback_support,0,3,2
delivery partner was very rude refused to come near doorstep and spoke harshly unacceptable behaviour,logistics,0,0,3,behaviour,0,3,2
delivery after full payment delayed,logistics,0,0,0,delay,0,3,2
package not delivered,logistics,1,0,4,fallback_support,0,0,0
it deliver at all whom deliver god only know,logistics,1,1,4,fallback_support,1,0,0
correct delivery,logistics,2,2,4,fallback_support,2,1,0
get different product not what ordered,logistics,1,1,4,fallback_support,1,0,0
delivery delay with false premise closed update very poor service,logistics,0,0,0,delay,0,3,2
shipment not delivered fake update,logistics,0,0,4,fallback_support,0,3,2
rude behaviour,logistics,0,0,3,behaviour,0,3,2
saree damaged,logistics,0,0,2,damage_lost,0,4,3
partial delivery app shows full delivered,logistics,1,1,4,fallback_support,1,0,0
product does not fit cannot use,logistics,0,0,4,fallback_support,1,0,1
good service communication easy,logistics,2,2,4,fallback_support,2,1,0
excellent customer service,logistics,2,2,4,support,2,1,0
ok receive,logistics,1,1,4,fallback_support,1,0,0
professional conduct,logistics,1,1,4,fallback_support,2,0,0
we cant receive flicka silk touch only lipstick receive from box,logistics,1,1,4,fallback_support,1,0,0
important courier delayed without call,logistics,0,0,0,delay,0,3,2
delivery guy didnt deliver order,logistics,0,0,4,fallback_support,1,0,1
u deliver wrong courier,logistics,0,0,4,fallback_support,0,3,2
fake product exchanged fraud,logistics,0,0,7,refund,0,4,3
no call received from courier,logistics,1,1,3,behaviour,1,0,0
one of best delivery,logistics,2,2,4,fallback_support,2,1,0
delivery staff rude liar needs training,logistics,0,0,3,behaviour,0,3,2
scope for improvement in online KYC verification,logistics,1,1,4,fallback_support,1,0,0
delivery marked but receiver different,logistics,1,1,4,fallback_support,1,0,0
delivery staff need behaviour training,logistics,1,1,3,behaviour,1,0,0
very nice product,logistics,2,2,4,fallback_support,2,1,0
sunday dilivery honi chahiye,logistics,1,1,4,fallback_support,1,0,0
yes received service,logistics,1,1,4,fallback_support,1,0,0
quick service provider deliver on time,logistics,1,1,4,fallback_support,2,0,0
incorrect address reported intentionally,logistics,1,1,4,fallback_support,0,0,0
delivery guy refuse come up collect downstairs,logistics,1,1,4,fallback_support,1,0,0
ok thanks,logistics,1,2,4,fallback_support,2,1,0
bad delivery service,logistics,0,0,4,fallback_support,0,3,2
long term customer trust appreciated,logistics,1,1,4,fallback_support,2,0,0
outstanding service from blue dartgood behavior blue dart agent,logistics,2,2,3,behaviour,2,1,0
not at all satisfied,logistics,1,1,4,fallback_support,2,1,0
service appreciable,logistics,2,2,4,fallback_support,2,1,0
delivery status incorrect no call received,logistics,0,0,3,behaviour,0,3,2
extremely rude delivery behaviour,logistics,0,0,3,behaviour,0,3,2
delivery boy behaved very rudely and arrogantly,logistics,0,0,3,behaviour,0,3,2
pathetic delivery and customer care never recommend,logistics,0,0,4,support,1,0,1
self pickup,logistics,1,1,4,fallback_support,1,0,0
delivery boy never comes to floor always leaves at ground floor very disappointing,logistics,0,0,4,fallback_support,1,0,1
As of now very good experience,logistics,2,2,4,fallback_support,2,1,0
product not delivered,logistics,0,0,4,fallback_support,0,3,2
no delivered,logistics,1,1,4,fallback_support,1,0,0
village delivery slow dissatisfied,logistics,0,0,0,delay,0,3,2
On.pay.link,logistics,1,1,4,fallback_support,1,0,0
worst delivery service refund demanded,logistics,0,0,7,refund,0,4,3
option to choose delivery date required,logistics,1,1,4,fallback_support,1,0,0
good service ashwin david thank you,logistics,2,2,4,fallback_support,2,1,0
very nice delivery experience,logistics,2,2,4,fallback_support,2,1,0
did not receive delivery,logistics,0,0,2,damage_lost,0,4,3
delivery delay with no communication,logistics,0,0,0,delay,0,3,2
late delivery again,logistics,1,0,0,delay,0,0,1
franchise person never delivers at home,logistics,0,0,4,fallback_support,1,0,1
order never delivered always marked premise locked,logistics,0,0,4,fallback_support,1,0,1
delivery executive very rude behaviour,logistics,0,0,3,behaviour,0,3,2
deliver on time without forcing office pickup,logistics,1,1,4,fallback_support,2,0,0
delivery status falsely marked delivered,logistics,1,1,4,fallback_support,1,0,0
delivery pending,logistics,1,1,0,delay,0,2,2
super fast one day delivery polite staff,logistics,2,2,4,fallback_support,2,1,0
return requested bad product,logistics,0,0,7,refund,0,4,3
wrong item delivered dust instead of product,logistics,0,0,4,fallback_support,0,3,2
sharan very kind hard working,logistics,2,2,4,fallback_support,2,1,0
packet torn need careful handling,logistics,1,1,2,damage_lost,1,0,0
courier person called first day then no follow up false status updated repeatedly,logistics,1,1,4,support,1,2,1
atm card not delivered needs branch help,logistics,0,0,4,fallback_support,0,3,2
shipment marked delivered but not received,logistics,1,1,2,damage_lost,0,0,0
company cheated wrong product sent fraud,logistics,0,0,4,fallback_support,0,4,3
excell,logistics,1,1,4,fallback_support,1,0,0
awesome,logistics,2,2,4,fallback_support,2,1,0
Hg,logistics,1,1,4,fallback_support,1,0,0
amit ok,logistics,1,1,4,fallback_support,1,0,0
delivery date earlier than expected,logistics,1,1,4,fallback_support,1,0,0
package not yet received,logistics,0,0,4,fallback_support,1,0,1
delivery speedy smooth,logistics,2,2,4,fallback_support,2,1,0
courier delivered to wrong address,logistics,0,0,1,wrong_delivery,0,3,2
courier delivered on time thank you,logistics,2,2,4,fallback_support,2,1,0
fabric quality very cheap,logistics,1,1,4,fallback_support,1,0,0
otp based delivery safe and secure,logistics,2,2,4,fallback_support,2,1,0
nil feedback,logistics,1,1,6,pricing,1,0,0
delivery boy refused area delivery,logistics,0,0,4,fallback_support,1,0,1
great timely delivery,logistics,2,2,4,fallback_support,2,1,0
very good product value,logistics,2,2,4,fallback_support,2,1,0
video kyc improvement suggestion,logistics,1,1,4,fallback_support,1,0,0
unable to track package location,logistics,1,1,5,tracking,1,0,1
delay without reason,logistics,1,0,0,delay,0,2,2
product not delivered as per convenience,logistics,0,0,4,fallback_support,0,3,2
timely,logistics,1,1,4,fallback_support,2,0,0
nothing to add,logistics,1,1,4,fallback_support,1,0,0
very happy with this courier service,logistics,2,2,4,fallback_support,2,1,0
package never delivered false attempts marked,logistics,0,0,4,fallback_support,1,0,1
last credit card delivery was very bad,logistics,0,0,4,fallback_support,0,3,2
delivery agent never called even after reschedule,logistics,1,1,4,support,1,0,0
payment failed due to network issue,logistics,0,0,4,fallback_support,0,3,2
wrong information about address marked without OTP or call,logistics,0,0,4,support,0,3,2
bad experience ever order not yet deliver but status delivered,logistics,0,0,4,fallback_support,0,3,2
relationship manager suggestion for improvement,logistics,1,1,4,fallback_support,1,0,0
very pathetic service,logistics,0,0,4,fallback_support,1,0,1
delivery person not good,logistics,0,0,4,fallback_support,2,1,1
completely satisfied with recent delivery,logistics,2,2,4,fallback_support,2,1,0
good h,logistics,1,2,4,fallback_support,2,1,0
package roaming with rider no update forced hub pickup,logistics,1,1,5,tracking,0,2,2
when get product blue dart parcel tore inside also one of product plastic tore,logistics,1,1,4,fallback_support,1,0,0
very satisfied with service,logistics,2,2,4,fallback_support,2,1,0
poor service credit card charged without update,logistics,0,0,6,pricing,0,3,2
return requested due to size issue,logistics,0,0,7,refund,0,4,3
fraud order wrong item sent,logistics,0,0,4,fallback_support,0,4,3
false delivery attempt remarks without calling customer,logistics,0,0,4,support,1,0,1
fast and secure,logistics,2,2,4,fallback_support,2,1,0
parcel expected delivery date missed,logistics,1,1,4,fallback_support,1,0,0
delivery handled well polite staff,logistics,2,2,4,fallback_support,2,1,0
not delivered to right person,logistics,0,0,4,fallback_support,0,3,2
not pure product quality,logistics,1,1,4,fallback_support,1,0,0
just keep up good work,logistics,2,2,4,fallback_support,2,1,0
can buy pack but get one pack,logistics,1,1,4,fallback_support,1,0,0
refund requested,logistics,1,0,7,refund,1,0,0
please cancel my order this wrong item,logistics,0,0,4,fallback_support,0,3,2
polite behaviour of delivery person,logistics,2,2,3,behaviour,2,1,0
please avoid delivery delay,logistics,1,0,0,delay,0,2,2
great service on time delivery,logistics,2,2,4,fallback_support,2,1,0
delivery pleasant but delayed,logistics,1,0,0,delay,0,2,2
not received,logistics,1,1,2,damage_lost,0,0,0
shipment falsely marked delivered,logistics,0,0,4,fallback_support,1,0,1
third class service,logistics,1,1,4,fallback_support,1,0,0
delivery rescheduled falsely,logistics,0,0,0,delay,0,3,2
im very happy,logistics,2,2,4,fallback_support,2,1,0
delivery call used bluedart address,logistics,1,1,4,support,1,0,0
delivery agent unable to reach location despite map and live location,logistics,1,1,4,fallback_support,1,0,0
parcel taken back by delivery agent,logistics,1,1,4,fallback_support,1,0,0
delivery boy dropped parcel without handover poor practice,logistics,0,0,4,fallback_support,0,3,2
want to return product received old item,logistics,0,0,7,refund,0,4,3
correct pincode but courier held for three days,logistics,0,0,4,fallback_support,1,0,1
loan installment details required,logistics,1,1,4,fallback_support,1,0,0
delivery agent behaved rudely while delivering medicine,logistics,0,0,3,behaviour,0,3,2
refund process query,logistics,1,0,7,refund,1,0,0
ordered pillow received only one,logistics,1,1,4,fallback_support,1,0,0
ordered item not sent different item received,logistics,1,1,4,fallback_support,1,0,0
delivery agent behaves so rude,logistics,0,0,3,behaviour,0,3,2
order falsely marked not available before return,logistics,0,0,7,refund,0,4,3
late delivery by one day,logistics,1,0,0,delay,0,0,1
service is reliable and good,logistics,2,2,4,fallback_support,2,1,0
awsome service from blue dart courier,logistics,2,2,4,fallback_support,2,1,0
please deliver faster,logistics,1,1,4,fallback_support,2,0,0
delivery boy lied about availability,logistics,0,0,4,fallback_support,1,0,1
very delayed delivery not happy,logistics,0,0,0,delay,0,3,2
delivered without actual delivery,logistics,1,1,4,fallback_support,1,0,0
received image but wrong size delivered,logistics,1,0,4,fallback_support,0,0,0
Good banking,logistics,2,2,4,fallback_support,2,1,0
very bad behaviour not acceptable,logistics,0,0,3,behaviour,0,3,2
item not received,logistics,1,1,2,damage_lost,0,0,0
parcel not receive message came delivered,logistics,1,1,4,fallback_support,1,0,0
service already good,logistics,2,2,4,fallback_support,2,1,0
good quality best service,logistics,2,2,4,fallback_support,2,1,0
delivery executive rude handling shipment,logistics,0,0,3,behaviour,0,3,2
wrong item delivered by courier boy,logistics,0,0,4,fallback_support,0,3,2
delivery delayed without location update,logistics,0,0,0,delay,0,3,2
allow delivery at fixed slot,logistics,1,1,4,fallback_support,1,0,0
fake product wrong watch received want return,logistics,0,0,7,refund,0,4,3
fully satisfied with delivery person,logistics,2,2,4,fallback_support,2,1,0
staff behaviour extremely poor at branch,logistics,1,1,3,behaviour,0,0,0
very good nice,logistics,2,2,4,fallback_support,2,1,0
dress completely different from image want return,logistics,0,0,7,refund,0,4,3
payment issue extra amount collected,logistics,1,0,6,pricing,0,0,0
delivery poor service,logistics,0,0,4,fallback_support,0,3,2
false delivery report despite availability,logistics,1,1,4,fallback_support,1,0,0
parcel damaged after multiple follow ups and retaped worst experience,logistics,0,0,2,damage_lost,0,4,3
service good,logistics,1,2,4,fallback_support,2,1,0
extra money taken beyond order value,logistics,0,0,4,fallback_support,1,0,1
order placed by mistake want return,logistics,1,1,7,refund,1,0,0
must,logistics,1,1,4,fallback_support,1,0,0
bank account opening smooth and hassle free,logistics,2,2,4,fallback_support,2,1,0
before arrive please give call,logistics,1,1,4,support,1,0,0
call before delivery,logistics,1,1,4,support,1,0,0
fraud parcel received instead of original item,logistics,0,0,4,fallback_support,1,4,3
delivery agent returned exact change,logistics,1,1,7,refund,1,0,0
pathetic service,logistics,0,0,4,fallback_support,1,0,1
had to collect from hub after two weeks,logistics,0,0,4,fallback_support,1,0,1
package received opened item not missing but seems used earlier,logistics,0,0,4,fallback_support,0,3,2
delivery boy behaved badly shouted and did not listen to address instructions,logistics,0,0,3,behaviour,0,3,2
name reference,logistics,1,1,4,fallback_support,1,0,0
it took extra day for delivery,logistics,1,1,4,fallback_support,1,0,0
not in time,logistics,1,1,4,fallback_support,1,0,0
mobile cover small size issue,logistics,1,0,4,fallback_support,0,0,0
order not delivered suspected fraud,logistics,0,0,4,fallback_support,0,4,3
lipstick delivered was empty and used product,logistics,0,0,4,fallback_support,1,0,1
order not delivered to me,logistics,0,0,4,fallback_support,0,3,2
reliable courier overall,logistics,1,1,4,fallback_support,1,0,0
forced to collect from outlet repeatedly,logistics,0,0,4,fallback_support,1,0,1
delivery partner did not deliver on time,logistics,0,0,4,fallback_support,2,0,1
poor quality name tag,logistics,0,0,4,fallback_support,0,3,2
courier not delivered home collected from office,logistics,0,0,4,fallback_support,0,3,2
forced hub pickup after fake remarks,logistics,0,0,4,fallback_support,0,3,2
size issue and poor quality product,logistics,0,0,4,fallback_support,0,3,2
best quality received,logistics,1,1,4,fallback_support,1,0,0
delivery without consent unacceptable,logistics,1,1,4,fallback_support,1,0,0
used product in package,logistics,1,1,4,fallback_support,1,0,0
dont schedule delivery on weekend,logistics,1,1,4,fallback_support,1,0,0
excellent service super fast delivery,logistics,2,2,4,fallback_support,2,1,0
satisfactory experience,logistics,2,2,4,fallback_support,2,1,0
delivery delayed at hub without intimation,logistics,0,0,0,delay,0,3,2
delivery executive patient and helpful,logistics,2,2,4,fallback_support,2,1,0
no thoughts,logistics,1,1,4,fallback_support,1,0,0
product damaged during transport,logistics,0,0,2,damage_lost,0,4,3
shipment delivered to different receiver,logistics,1,1,4,fallback_support,1,0,0
delivery partner refused to deliver at my address,logistics,0,0,4,fallback_support,1,0,1
no doorstep delivery forced self pickup,logistics,0,0,4,fallback_support,1,0,1
you serve best,logistics,2,2,4,fallback_support,2,1,0
delivery boy did not come to my home address,logistics,0,0,4,fallback_support,1,0,1
not delivered to me,logistics,0,0,4,fallback_support,0,3,2
it recommend provide order reach owner,logistics,1,1,4,fallback_support,1,0,0
delay delivery,logistics,1,0,0,delay,0,2,2
card not delivered had to collect from bluedart office staff behaviour bad,logistics,0,0,3,behaviour,0,3,2
be honest in first place,logistics,1,1,4,fallback_support,1,0,0
behavior very good,logistics,2,2,3,behaviour,2,1,0
sir this rong item how can return this not my order,logistics,0,0,1,wrong_delivery,0,3,2
very pleased with service,logistics,2,2,4,fallback_support,2,1,0
not delivered had to collect parcel personally,logistics,1,0,4,fallback_support,0,0,0
didnt receive order,logistics,1,1,4,fallback_support,1,0,0
delivery boy contact number should be visible,logistics,1,1,4,support,1,0,0
best delivery service ever,logistics,2,2,4,fallback_support,2,1,0
delivery delayed need proactive communication,logistics,1,0,0,delay,0,2,2
one of best service thank you so much,logistics,2,2,4,fallback_support,2,1,0
delay service,logistics,1,0,0,delay,0,2,2
too much late delivery,logistics,0,0,0,delay,0,3,2
parcel not deliver but message come a deliver,logistics,1,1,4,fallback_support,1,0,0
Credit card and online banking facilities should be offered . ,logistics,1,1,4,fallback_support,1,0,0
good service good delivery person,logistics,2,2,4,fallback_support,2,1,0
consignment not received yet,logistics,1,1,2,damage_lost,0,0,0
ordered sunglasses wrong brand delivered,logistics,0,0,4,fallback_support,0,3,2
false door closed remark,logistics,0,0,4,fallback_support,1,0,1
parcel stuck at hub had to collect myself,logistics,0,0,4,fallback_support,0,3,2
humble service,logistics,2,2,4,fallback_support,2,1,0
one day delay at patna airport,logistics,1,0,0,delay,0,2,2
delivery not completed on time one week delay false incorrect address reasons,logistics,0,0,0,delay,0,3,2
no comment,logistics,1,1,4,fallback_support,1,0,0
good service first delivery,logistics,2,2,4,fallback_support,2,1,0
good working,logistics,2,2,4,fallback_support,2,1,0
dont wan,logistics,1,1,4,fallback_support,1,0,0
delivery slow and late,logistics,1,0,0,delay,0,0,1
forced to pick order from office after delays,logistics,0,0,0,delay,0,3,2
product different from website images,logistics,1,1,4,fallback_support,1,0,0
just great service,logistics,2,2,4,fallback_support,2,1,0
delivery boy extremely poor performance,logistics,0,0,4,fallback_support,0,3,2
improve delivery service,logistics,1,1,4,fallback_support,1,0,0
damage box little bit open,logistics,1,0,2,damage_lost,1,0,0
courier not delivered no call track immediately,logistics,0,0,5,tracking,0,3,2
delivery guy very helpful,logistics,2,2,4,fallback_support,2,1,0
no call unsure where parcel delivered,logistics,0,0,3,behaviour,1,0,2
bank charges slabs not explained clearly before account opening,logistics,1,2,4,fallback_support,1,0,0
poor communication high price very late delivery,logistics,0,0,0,delay,0,3,2
wrong product delivered,logistics,1,0,4,fallback_support,0,0,0
fantastic service packaging very safe,logistics,2,2,4,fallback_support,2,1,0
best service experience,logistics,2,2,4,fallback_support,2,1,0
package leaked inside but staff fine,logistics,1,1,2,damage_lost,1,0,0
friendliness professionalism average,logistics,1,1,4,fallback_support,2,0,0
please reduce transit time,logistics,1,1,4,fallback_support,1,0,0
no need,logistics,1,1,4,fallback_support,1,0,0
wrong item delivered unfair want return,logistics,0,0,7,refund,0,4,3
perfect,logistics,1,2,4,fallback_support,2,0,0
your irresponsibility beyond explanation,logistics,0,0,4,fallback_support,1,0,1
service not available area still accepted order,logistics,0,0,4,fallback_support,1,0,1
order marked delivered but not received,logistics,0,0,2,damage_lost,0,4,3
improvement seen delivery system better now,logistics,1,1,4,fallback_support,1,0,0
Yy,logistics,1,1,4,fallback_support,1,0,0
packet not received,logistics,0,0,2,damage_lost,0,4,3
my parshl id not dilevery,logistics,1,1,4,fallback_support,1,0,0
delivery person proactive and reached customer,logistics,2,2,4,fallback_support,2,1,0
address corrected and delivered successfully thanks,logistics,2,2,4,fallback_support,2,1,0
just need add number of delivery partner,logistics,1,1,4,fallback_support,1,0,0
good service fast delivery,logistics,2,2,4,fallback_support,2,1,0
prashant good always polite on time,logistics,2,2,4,fallback_support,2,1,0
always prompt polite delivery important,logistics,2,2,4,fallback_support,2,1,0
stupid service,logistics,0,0,4,fallback_support,1,0,1
delivery inconvenience faced,logistics,0,0,4,fallback_support,1,0,1
debit card not delivered but marked delivered,logistics,0,0,4,fallback_support,0,3,2
best fast service,logistics,2,2,4,fallback_support,2,1,0
no suggestion,logistics,1,1,4,fallback_support,1,0,0
didnt receive item,logistics,0,0,4,fallback_support,1,0,1
delivery man rude behaviour,logistics,0,0,3,behaviour,0,3,2
false delivery attempt marked,logistics,0,0,4,fallback_support,1,0,1
good service decent timely delivery,logistics,2,2,4,fallback_support,2,1,0
delivery partner refused doorstep delivery,logistics,0,0,4,fallback_support,1,0,1
delivery boy very rude mannerless,logistics,0,0,3,behaviour,0,3,2
thanks,logistics,1,2,4,fallback_support,2,1,0
delivery person called earlier,logistics,1,1,4,support,1,0,0
no verification risky delivery,logistics,1,1,4,fallback_support,1,0,0
delivery agent refunded without delivery,logistics,1,0,7,refund,1,0,0
prompt polite speedy delivery,logistics,1,1,4,fallback_support,2,0,0
multiple complaints raised earlier,logistics,1,1,4,support,0,3,2
best service in india,logistics,2,2,4,fallback_support,2,1,0
OTP taken on call but parcel not delivered,logistics,0,0,4,support,0,3,2
delivery partner rude refused floor delivery insisted to come down,logistics,0,0,3,behaviour,0,3,2
missing item in parcel protein bar not received,logistics,0,0,2,damage_lost,0,4,3
staff delivered safely thanks,logistics,2,2,4,fallback_support,2,1,0
marked delivered but no delivery happened,logistics,0,0,4,fallback_support,1,0,1
no follow up,logistics,1,1,4,support,1,2,1
receiver received,logistics,1,1,4,fallback_support,1,0,0
awesome,logistics,1,2,4,fallback_support,1,0,0
package delivered with proper instructions intact,logistics,1,1,4,fallback_support,1,0,0
delivery message received but parcel not delivered,logistics,1,0,4,fallback_support,0,0,0
deliver product on time,logistics,1,1,4,fallback_support,2,0,0
item not delivered but message says delivered,logistics,0,0,4,fallback_support,0,3,2
very cooperative staff,logistics,1,1,4,fallback_support,1,0,0
delivery team very polite and fast,logistics,2,2,4,fallback_support,2,1,0
professional behaviour appreciated,logistics,1,1,3,behaviour,2,0,0
hiii,logistics,1,1,4,fallback_support,1,0,0
slow but safe delivery,logistics,1,1,4,fallback_support,1,0,0
parcel not received no call from delivery team,logistics,0,0,2,damage_lost,0,4,3
delivery man irresponsible no local office number,logistics,0,0,4,fallback_support,1,0,1
very helpful delivery executive,logistics,2,2,4,fallback_support,2,1,0
not delivered product,logistics,0,0,4,fallback_support,0,3,2
product missing from box,logistics,0,0,2,damage_lost,0,4,3
delivery boy rude bossy behaviour,logistics,0,0,3,behaviour,0,3,2
did not receive card,logistics,0,0,2,damage_lost,0,4,3
delivery boy refused village delivery,logistics,1,1,4,fallback_support,1,0,0
best,logistics,1,1,4,fallback_support,1,0,0
Everything is good please keep privacy and security related issues always,logistics,2,0,0,delay,0,1,0
want bigger size,logistics,1,1,4,fallback_support,1,0,0
delivery boy polite and communicates well,logistics,2,2,4,fallback_support,2,1,0
parcel reference,logistics,1,1,4,fallback_support,1,0,0
this time service bad,logistics,0,0,4,fallback_support,0,3,2
very nice delivery person,logistics,2,2,4,fallback_support,2,1,0
passport delivery charged extra incorrectly,logistics,1,1,6,pricing,0,0,0
charged extra amount,logistics,1,1,6,pricing,1,0,0
delivery delayed four days,logistics,0,0,0,delay,0,3,2
not yet received worried about delay,logistics,1,0,0,delay,0,2,2
delivery agent forced customer to collect parcel elsewhere,logistics,1,1,4,fallback_support,1,0,0
worst experience delayed forced pickup,logistics,0,0,0,delay,0,3,2
status marked delivered but not received,logistics,0,0,2,damage_lost,0,4,3
day late delivery,logistics,1,0,0,delay,0,0,1
good organisation and timely delivery,logistics,2,2,4,fallback_support,2,1,0
please call if address issue or delivery delay,logistics,1,0,0,delay,0,2,2
delivery boy threatened customer,logistics,0,0,3,behaviour,1,0,2
smooth delivery experience,logistics,2,2,4,fallback_support,2,1,0
great experience staff support appreciated,logistics,2,2,4,support,2,1,0
delivery staff behaved rudely threatened customer and refused delivery,logistics,0,0,3,behaviour,0,3,2
technical issue caused one day extra delivery,logistics,1,0,4,fallback_support,0,0,0
delivery schedule unclear,logistics,1,2,4,fallback_support,1,0,0
wrong contact number remove it,logistics,1,0,4,support,0,0,0
delivery staff refused doorstep delivery and misbehaved,logistics,0,0,3,behaviour,1,0,2
product damaged,logistics,1,0,2,damage_lost,0,3,3
quality unclear,logistics,1,2,4,fallback_support,1,0,0
brand mismatch concern,logistics,1,1,4,fallback_support,1,2,1
overall service good,logistics,1,2,4,fallback_support,2,1,0
professional delivery,logistics,1,1,4,fallback_support,2,0,0
asked to collect from different location,logistics,1,1,4,fallback_support,1,0,0
good delivery experience,logistics,2,2,4,fallback_support,2,1,0
defective product received,logistics,0,0,4,fallback_support,1,0,1
polite efficient delivery person,logistics,2,2,4,fallback_support,2,1,0
great service,logistics,2,2,4,fallback_support,2,1,0
easy accessible office,logistics,1,1,4,fallback_support,1,0,0
Gay,logistics,1,1,4,fallback_support,1,0,0
address change option needed,logistics,1,1,4,fallback_support,1,0,0
interest rate high for first time buyer,logistics,1,1,4,fallback_support,1,0,0
forced to travel far to collect parcel,logistics,0,0,4,fallback_support,1,0,1
I didn't feel that you should improve anything. IDFC first Bank  banking services are excellent ,logistics,1,2,6,pricing,1,1,0
very good service,logistics,2,2,4,fallback_support,2,1,0
convenient delivery experience,logistics,2,2,4,fallback_support,2,1,0
fake delivery attempt marked daily,logistics,0,0,4,fallback_support,0,3,2
delivery timely and perfect condition,logistics,2,2,4,fallback_support,2,1,0
incorrect address on google issue,logistics,1,0,4,fallback_support,0,0,0
urgent service required,logistics,1,1,4,fallback_support,1,0,0
we did not receive our courier,logistics,0,0,2,damage_lost,0,4,3
very good behavior fast delivery,logistics,2,2,3,behaviour,2,1,0
do not deliver parcel,logistics,0,0,4,fallback_support,1,0,1
not delivered yet,logistics,0,0,0,delay,0,3,2
refund required,logistics,1,0,7,refund,1,0,0
not received at all,logistics,1,1,2,damage_lost,0,0,0
courier boy behaviour not good,logistics,0,0,3,behaviour,2,1,2
call before parcel delivery,logistics,1,1,4,support,1,0,0
good delivery partner,logistics,2,2,4,fallback_support,2,1,0
account issue wrong account opened request closure,logistics,0,0,4,fallback_support,0,3,2
very good experience respectful delivery staff,logistics,2,2,4,fallback_support,2,1,0
rude delivery person left parcel outside,logistics,0,0,3,behaviour,0,3,2
customer first,logistics,1,1,4,fallback_support,1,0,0
forced to collect from bluedart office,logistics,0,0,4,fallback_support,1,0,1
odd experience,logistics,1,1,4,fallback_support,1,0,0
marked delivered without call,logistics,0,0,4,support,1,0,1
delivery agent marks not available without calling,logistics,0,0,4,support,1,0,1
everything great,logistics,2,2,4,fallback_support,2,1,0
delivery guy stopped before address,logistics,1,1,4,fallback_support,1,0,0
thank you for super fast delivery,logistics,2,2,4,fallback_support,2,1,0
delivery boy friendly,logistics,1,1,4,fallback_support,1,0,0
please share expected delivery date via message,logistics,1,1,4,fallback_support,1,0,0
consignment not received,logistics,1,1,2,damage_lost,0,0,0
grateful for excellent service,logistics,2,2,4,fallback_support,2,1,0
very good overall,logistics,2,2,4,fallback_support,2,1,0
wrong item delivered refund required,logistics,0,0,7,refund,0,4,3
want return product,logistics,1,1,7,refund,1,0,0
tracking details should be shared before delivery,logistics,1,1,5,tracking,1,0,1
not good appearance,logistics,0,0,4,fallback_support,2,1,1
no proper delivery had to carry parcel myself,logistics,1,1,4,fallback_support,1,0,0
fast,logistics,1,1,4,fallback_support,2,0,0
payment update related,logistics,1,0,0,delay,0,0,1
seamless process opened NRO NRE account easily fast track service excellent experience,logistics,2,2,5,tracking,1,1,0
fake order received need cyber complaint,logistics,1,1,4,support,0,3,2
package very dirty have lot of dust deposit on it,logistics,0,0,4,fallback_support,1,0,1
fastest courier in our region,logistics,1,1,4,fallback_support,2,0,0
route map needed,logistics,1,1,4,fallback_support,1,0,0
delivery person asked to come out,logistics,1,1,4,fallback_support,1,0,0
shipment delays observed,logistics,1,0,0,delay,0,2,2
package leak from inside,logistics,1,1,2,damage_lost,1,0,0
excellent but little late,logistics,1,0,0,delay,0,1,1
