text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
very smooth and easy netbanking experience,banking,2,2,13,1,4,0
a c opening process is very fastapps is beautifulbank staff and processing is also fast liked everything excellent banking service,banking,2,2,3,2,5,0
video call got dropped few times during the process needs resolution,banking,0,1,13,1,4,0
consistently smooth and helpful service ive experienced with idfc first bank from the clarity provided in responses via email to the courteous support during phone calls every interaction has been professional prompt and genuinely customerfriendly its rare to come across such a seamless and proactive support system and i truly value it the recent resolution of my query regarding the savings account variant was handled efficiently and i especially appreciate the clear communication thank you for maintaining such high service standards it really makes a difference,banking,2,2,3,2,6,0
video kyv has connection issues and was not possible to rejoin once disconnected,banking,0,1,13,0,4,0
very easy procedure for opening account,banking,2,3,13,1,4,0
good behaviour of sales manager mr anil kumar,banking,2,2,13,1,4,0
yes mene rupees bala account khola tha jisme mujhe visa platinum debit card milana chahie tha par mujhe mastercard prapt hua usme thoda sahi nhi lga aap apne portal par dono ka chayan rakhte toh usme achcha rahata,banking,1,5,7,1,4,0
want to talk with customer care for complaining,banking,1,5,6,1,4,1
was a smooth process where yash kept me proactively informed about the status and what to expect next,banking,2,2,5,2,6,0
no thank youone suggestion only add money option i found high amount is there if u put and that will more convenient for the customer,banking,1,5,5,2,6,0
very good service idfc first bank,banking,2,2,5,2,6,0
ambience and vibes of your thane branch looks very dull and boring it needs to be changed to vibrant and appalling it seems that either thane branch is understaffed or that employees might not be really interested in adding new customers or new business to the branch response to the customers queries were not really conducive or encouraging for a customer to open a stand alone fd of substantial amount with your bank,banking,0,1,3,1,4,0
we are unable to contact any customer care representative for our concern we have another account to open in idfc first bank but theres no option in your current care numbers ivr to talk to any agent,banking,0,1,6,1,4,0
we had a time constraint to open a joint account and recieved our card and check book within a week friendly agent promised back end chain was not upto deliver with the result a very poor start of our relationship,banking,0,1,13,0,4,0
till now i have not received cheque book and debit card,banking,0,1,7,0,4,3
there is one concern about the account opening branch that it was opened in a distant branch phase mohali there is already a branch available in my city landran road kharar i request you to kindly shift my account to the nearest branch for better convenience thank you,banking,1,5,9,2,6,1
i think ekyc process should be more easy and i also got voice problem while connecting first time so i had to book next day appointment which is time consuming,banking,1,1,3,0,4,1
we impressed to know your easy going inland and abroad banking services,banking,2,6,13,1,4,0
we just open an account wt positive feedback futher we expect smooth transaction too,banking,2,2,1,1,4,0
please fix your process and add otp based process for email id when opening account and please fix email id of account,banking,1,3,13,1,4,0
well we get daily tomnay messages from id bu bank via net so kindly make sure we recieve less meaage trhogh internet we get message when me start phone,banking,1,3,13,1,4,0
mujhe account close krna hail,banking,0,1,13,1,4,0
it was a smooth and easy process to open account and other formalities like kyc updation etc,banking,2,2,13,1,4,0
when i received the kit there is nothing showing after bank manager and regenal manager number was empty,banking,0,1,13,1,4,0
to reduce monthly average balance minimum k,banking,1,5,8,1,4,0
credit card should be issued in patna too,banking,1,1,2,0,4,0
when the bank provide a reason for rejecting a service verify that its genuine its not a platform to joke be serious about banking i will not recommend your bank to anyone because the way i was treated was extremely unprofessional and unacceptable i didnt close the account considering the sincerity of the bank employee who did the process swiftly i seldom think even this feedback will be taken seriously,banking,0,1,1,1,0,3
the ui of app can be improved,banking,1,5,3,1,4,1
when you will remove the debit restricted from account,banking,1,3,13,1,4,0
my kyv full update but video kyc location problem sir medam what happened tell me resan,banking,0,1,3,0,4,0
please provide zero opening balance so everyone can easily open the savings account otherwise your service only dedicated for high society people,banking,1,5,13,1,4,0
three days time takenit should be fast,banking,1,5,13,1,4,0
ones the sales id done it should be taken care of rm deputed to my account should provide seamless services with spiculated time but he didnt bothered for the same now before days a new rm is assigned i dont know why and how rm chaged talking to rm also the issue is still pending,banking,0,0,13,0,4,0
i request the bank person to explain clearly on what to do during video kyc to the client like how to show their pan card on the camera,banking,1,3,13,1,4,0
idfc upi id mai mob no attached hai jisse customer ka mob no public ho raha isko hatao customise ka option dobaki app experience bahat hi achha haikeep it continue,banking,1,5,3,1,4,1
will not operate,banking,0,1,13,1,4,0
i opened the account for fd opening value around lfor months percent interest today now showing percent after kyc updationhence dropping the idea to open fd,banking,0,1,13,1,4,0
with due response i have been dealt with thats why i rated this,banking,2,3,13,1,4,0
without going anywhere i opened sb ac,banking,2,6,13,1,4,0
too high charge for settlement accounts some banks r offering it free thinking to close it,banking,0,1,1,0,1,3
good behaviour of their staff mr gaurav bhatnagar he explains all the benefits and features of idfc first bank savings accounts,banking,2,2,11,1,4,0
prudent use of technology leading to ease in opening account,banking,2,1,13,0,0,2
wonderful experience to you idfc tq,banking,2,6,13,1,4,0
dear idfc first bank team i recently opened a new account at your branch and i am truly thankful for the smooth transparent and professional manner in which the entire account opening process was handled the staff at the samadhan patil branch were particularly cooperative and helpful they provided all the necessary information at every step and ensured that the entire process was completed efficiently and effortlessly i am highly satisfied with the professional and customercentric service provided by idfc first bank and look forward to continuing my banking relationship with you thank you once again for your excellent service and best wishes,banking,2,2,9,2,5,0
worst banking service third class service,banking,0,1,13,0,0,2
third class service took days for opening simple sb account where second holder was existing customer worst experience by me will not recommend to any other person,banking,0,1,13,0,0,2
my fd money of wow credit card of idfc first bank please transfer earlier in my idfc first bank savings account already clear all pending payment today maintain balance thanking you idfc first bank,banking,1,0,2,0,4,0
account opening is very easy steps very nice,banking,2,2,13,1,4,0
very poor service i dont want to continue this bank,banking,0,1,13,0,4,0
worst experience ever with any bankwill be closing the account immediately i can login thats to agent its been over a week i cant login due to wrong country code in the nrenro account and then not taking responsibility and no updates,banking,0,0,13,0,0,2
worst experience ever agent suggested one thing and delivered another already initiated to close the accy but still not closed,banking,0,0,13,0,0,2
staff nishu is very supportive really appreciate hope for her future growth in idfc,banking,2,2,3,2,6,0
worst experience from this bank,banking,0,1,13,0,0,2
worst experience with that person who came to created the account i cant able to contact him againhe is not responded properly,banking,0,1,13,0,0,2
worst experience not interested to continue my account within days,banking,0,1,13,0,0,2
coming from icici bank my experience has been great while opening the account i hope the great customer service continues beyond opening as an aside the customer service execs are much more knowledgable that i had experienced earlier and are willing to understand and help as much as they can i cant specifically think of anything better but as an nri if you can tell all the services you provide either upfront or through emails it will be easier for me to decide its going to be good business for you too win win,banking,2,2,13,1,5,0
i was not aware about idfc first bank your bank has all those great banking features which usually bigger banks have the only thing is people are not much aware about your bank in future i will recommend your bank to all my connections,banking,2,2,13,1,5,0
wrongly guide me the agent,banking,0,1,13,1,4,0
this is my first experience with idfc based confirmation from executive i have opened savings account and she mentioned that no need to go for bank for physical verification now she is telling that you need to go for bank to verify the kyc which km away from my home,banking,0,1,13,1,4,0
yes bank indusind bank hdfc bank takes verry less time as compared yo idfc still not solved,banking,0,0,13,1,4,0
the survey link to provide feedback on opening the account has been sent even before the account being opened inordinate delay in opening the account while the online opening happened within few minutes,banking,0,0,3,0,4,0
yes explained baout various investmnet ideas,banking,2,6,13,1,4,0
everything seems to be working perfectly,banking,2,6,13,1,4,0
good service n fast process,banking,2,2,5,2,6,0
i would like to have my name on my debit card you should confirm before printing regarding name to be print on debit card,banking,1,5,7,1,4,0
opening a saving ac was a seamless experience i wish you should introduce students saving ac too as the advantage is you consider all branches of yours as home branch for your customer over above there are no charges levied if a customer is banking at his non home branch thanx,banking,2,3,1,1,4,0
you can ask option whether required cheque and debit card facilities i dont use cheque and now days virtual debit card is enough the usage of debit card is less when compare to upi and credit card you can also reduce the expenses on sending card and cheque book,banking,1,3,2,1,4,0
nice experience account is open in very quick time,banking,2,2,13,1,4,0
if you reduce minimum account balance on saving account then more people are connect with our bank,banking,1,5,13,1,4,0
nice experience good to maintain all your blessings,banking,2,2,13,1,4,0
everything was perfect and fast,banking,2,6,13,1,4,0
easy to open account all services best,banking,2,6,13,1,4,0
once acc is opened plz make sure the home branch contacts the acc holder and discuss whatbthey need how its going thats basic thing which idfc is missing out,banking,1,3,9,1,4,1
send all terms and conditions and benefits about my savings account that is what are fecelities are given what is the minimum balance required,banking,1,3,8,1,4,0
i got your welcome kit but still i am not able to complete my kyc,banking,0,1,13,1,4,0
really digital india bharath presence superb quality i will plan to introduce our associates members to do open account with you during this financial year it is my commitment on the tamil new year day i hope the best as well as first,banking,2,6,13,1,4,0
hamen credit card chahie aur hamen do lakh tak loan kya aap ki bank loan de sakti hain,banking,1,3,2,1,4,0
i am awaiting for my cheque book kindly expedite at the earliest,banking,0,0,13,1,4,0
it was excellent visiting branch and good guidance by deepa in saibaba colony branch coimbatore,banking,2,2,9,2,5,0
yes somehow you managed to send my starter package to a hotel i stayed mos ago dont knhow you even got that address,banking,0,1,13,1,4,0
yes pls give me more interest,banking,1,3,13,1,4,0
worst service,banking,0,1,13,0,0,2
good service from sadashiva,banking,2,2,5,2,3,1
everything was just perfect ms disha solanki associate relationship manager is very well conversant with all the rules and procedures i didnt have any problem in my first day of banking with idfc first neemuch branch i wish her all the best for all her future endeavours,banking,2,1,9,0,4,0
yes the bank could have given instructions to keep the pan card aadhar card pen and white paper ready,banking,1,5,13,1,4,0
support service is weak unlike other corporate bsnks,banking,0,1,13,1,4,0
no staff very helpful,banking,2,2,13,1,4,0
very good very fast service,banking,2,2,5,2,6,0
though video kyc process was a good thought out process following can be improved the first agent who connected was impatient and rushing me hard and disconnected before it ended she didnt bother to call back to complete the process i felt like she disconnected because of me unable to meet her hurried timings the second agent handled it very smooth and i am very appreciative of her way of working thanks to her i gave a number for this account as primary contact but unfortunately account was created with a different number which is the number in adhar card when i asked to change agent asked me to contact customer care when i approached customer care he told no can only be changed after a month i have to wait for a month before start transactions in my account can something be done,banking,1,3,3,2,6,1
you are already at the account was created n active very smoothly n efficiently i will recommend idfc first bank as my first choice to all my friends thanks,banking,2,2,13,1,6,0
please improve video kyc process no agent was available when i was opening my account after days video kyc agent was available therefore have a request please make sure agent will be available during video kyc link clicking otherwise show message for not availability,banking,1,3,13,1,4,0
very easy to understand the process to open a savings account with fast and reliable kyc process from my existing credit card account,banking,2,3,2,1,4,0
still didnt receive my debit card,banking,0,1,7,0,1,3
mujhe bataya gaya tha zero balance pay account khulega balance koi maintain nahin karna padega lekin bad mein pata chala ki ismein minimum rakhna hi padega,banking,0,1,8,0,1,3
you can also exceed the variety of accounts for kids and woman today is the modern time most of the women used mobile and they are using bank the women are using bc program for months the are very eager of savings please exercise on it,banking,1,5,13,1,4,0
less branches when open account need self cheque require must be open account with cash money,banking,1,3,9,1,4,1
the offer showed on app havent been given to me though ac being opened via other online mode instead of mobile app,banking,0,1,3,1,4,0
executives to maintain dairy customer requirements,banking,1,5,13,1,4,0
you have taken about days to make the existing account as joint,banking,0,1,13,1,4,0
your branch is small hardly sitting is there executives to maintain a dairy for feedback,banking,1,5,1,1,4,0
you must train your customers to use your app yhis is very important to retain customers,banking,1,5,3,1,4,1
you need to get your processes correct big time in this day and age who takes a week to open an account my previous account did not take so much time extremely poor by your own standards,banking,0,1,13,0,4,0
your agent is totally unprofessional he didnt keep any of his assurance he doesnt care for precious time value,banking,0,1,13,1,4,0
your amb on savings account is too hight that is which didnt satisfy students like me and other poor people like wage earners,banking,0,1,13,0,4,0
your are doing fantastic job keep growing thanks,banking,2,2,13,1,5,0
your bank is also no exception when providing worst experience to nri customers,banking,0,1,13,0,0,2
get your back end it crowd to get in touch with me asap and solve my problems and thereby your banks problems and do some work to earn their wages otherwise change your it staff,banking,0,1,13,0,4,0
after all everything was ease and fine on the process just keep check your online account opening server always for which it should be alive thanks,banking,1,3,13,1,6,0
everything is good just keep it up,banking,2,2,13,1,4,0
its all over best experience now hope for better experience in future,banking,2,6,13,1,4,0
customer care experience very bad over on experience by account opening was good please please quickly resolve this problem of the customer care as quick as possible overall agents are good i have good experience with the agents but the customer care not responsible also not connecting please resolve this problem,banking,0,1,6,0,4,0
yes i didnt get my welcome kit without that i cant use my account,banking,0,1,13,1,4,0
give me personal loan lakh only or credit card k for imporve my cv score and like died with everything good wealth health policy car insurance car loan and good bhaviour both with us,banking,1,5,2,1,4,0
very good service provided by mrinmoy mondal he is very knowledgeable about the product and process and very kind towards senior citizens like us i was amazed by the way he made me understand about the benefits of having savings account with idfc first bank also he was able to cater to our queries on mobile banking as i hardly have any knowledge about the same i wish him very successful career ahead,banking,2,2,11,1,6,0
improve your online process for online account opening banks agents are not entertain you if you open your account with lesser minimum balance many other points needs to consider,banking,0,1,8,1,1,2
i want to open zero balance savings account but there is no information regarding what i truly wish to desire,banking,1,3,8,1,4,0
excellent service for account opening,banking,2,2,5,2,5,0
nri saving account for seafarer should be open online without visiting any branch,banking,1,5,9,1,4,1
everything in the idfc first bank is perfect and extra comfortable,banking,2,6,13,1,4,0
kindly arrange to send me the debit card urgently to my overseas address,banking,1,5,7,1,4,0
good process,banking,2,2,13,1,4,0
branch select option not available,banking,1,5,9,1,4,1
account opening was a seamless experience thanks for that,banking,2,2,13,1,6,0
a timely issuance of debit card,banking,2,6,7,1,4,0
awesome experience nice and well maintained server,banking,2,2,13,1,5,0
improve the connectivity for video kyc all others are best,banking,1,6,13,1,4,0
overall experience is great,banking,2,2,13,1,5,0
kyc complete but still showing in not completed in mobile application,banking,0,1,3,1,4,0
so far i found the most quickly i have ever opened account with idfc but its long way to go as needs to realise how the banking service to customer will be followed in near future that is the most matters,banking,1,3,13,1,4,0
you have a great guy in sayan bhowmik who impressed me a great deal just by his attitude,banking,2,2,13,1,5,0
was given misleading information at branch they refused to open account if minimum balance of rs was chosen phone banking executive said exact opposite both online and branch executive have wrong info about process to update address,banking,0,1,8,1,4,0
great product and services of your bank,banking,2,2,13,1,5,0
very nice app fast,banking,2,2,3,2,6,0
very nice keep it up,banking,2,2,13,1,4,0
kamlesh the relationship manager at c ergo branch was very helpful,banking,2,2,9,2,6,0
open zero balance saving account,banking,1,5,8,1,4,0
good experience,banking,2,2,13,1,4,0
till now i have not deposited any money because of pending kyc i have approached my rm on call and asked for further process she told me that i will call back after checking with administration department and also insisted on opening of account physically instead of online but till now she has not replied hats off to the service provided,banking,0,0,3,0,4,0
how much amount will be required to open the account this information should be given before opening the account,banking,1,3,13,1,4,0
debit card is missing from welcome kit,banking,0,1,7,0,1,3
please arrange phone call by experienced agent before account opening thanks,banking,1,5,13,1,6,0
its been very good,banking,2,2,5,2,6,0
good job by idfc representative jahnvi,banking,2,2,13,1,4,0
best bank but not available my city personal loan,banking,1,6,2,1,4,0
the video kyc was not successful in my case and it has been four days since ive been unable to complete it now my account is frozen the kyc representative and the branch manager rahul havent bothered to take my calls regarding the physical kyc process they keep giving me vague responses saying they will get back to me the next day only to delay again i have tried to speak with rahul the branch manager but even after numerous messages calls and requests they do not seem to prioritize my concerns i appreciate the way ive been treated thank you,banking,0,0,3,0,6,0
account opening through manual process involving cheque deposit is such a cumbersome process that i really got tired waiting to get the account active wish they could have given me diff mode of fund deposit option,banking,0,0,13,1,4,0
all are very nice services,banking,2,2,5,2,6,0
you have a wonderfull app and service customer shld be provided with more schemes and offers,banking,1,5,3,1,4,1
i had a great experience,banking,2,2,5,2,5,0
i will not recommend to anybody because idfc not maintaining privacy of customer,banking,0,1,13,1,4,0
urgent service,banking,1,5,13,1,4,0
mohit has been a great help in opening this account many thanks,banking,2,2,13,1,5,0
great keep it up,banking,2,2,13,1,5,0
account opening is good but any another experience is have more i have understand your bank so pls give sum time tq,banking,1,5,13,1,4,0
good bank service,banking,2,2,13,1,4,0
awesome service,banking,2,2,5,2,5,0
the app and banking services is very seamless the transaction are extremely smooth my only complain is that i dont have any credit card offers even after maintaining l amb kindly please look into this,banking,1,5,2,1,4,0
lower variant should be available for saving account bank can attract even lower level people and provide opportunities to be part of bank,banking,1,5,13,1,4,0
in operations services is very good,banking,2,2,5,2,6,0
initially i had been to idfc urban branchnear benz circle they said minimum balance in sb of rs has to be maintained although i wish to take fd for rs lakhs hence i thaught of going for another branch of yours i had been to iti college road office and came to know that in rural branches the minimum balance of rs itself is sufficient and directed one concerned person of gollapudi branch and i could do fd s for rs lakhs there hence all branches may be provided with self explanatory note on your bank to improve your business,banking,1,5,8,1,4,0
nothing to be improved great experience and glad to have an account with idfc first bank,banking,2,2,5,2,5,0
excellent service,banking,2,2,5,2,5,0
idfc advertising that customer does not have to visit any branch whereas in every concern phone banker is saying visit the branch theyll be able to help here if it was so i wont even take a chance to open an account and over burden myself very poor service and experience after opening the account,banking,0,1,9,0,4,0
scope for improvement in online kyc verification,banking,1,5,13,1,4,0
best experience i have had till date,banking,2,6,13,1,4,0
kindly improve the credit card process whenever i apply for credit card it only refresh me to fd credit card,banking,1,3,2,1,4,0
i recently opened a savings account with idfc first bank and the experience was smooth and hasslefree the staff was friendly wellinformed and guided me through the entire process with great professionalism i appreciate the transparency and efficiency during the account setup the mobile banking app is userfriendly and i love the zero balance feature along with competitive interest rates overall im very satisfied with the service and would definitely recommend idfc first bank to others,banking,2,2,3,2,5,0
u have no branch near by we have to go km,banking,0,1,9,1,4,0
balance account must be better,banking,1,5,13,1,4,0
good service of relationship manager,banking,2,2,5,2,6,0
opend account online but vkyc not complete or failed without any reason visited branch for kyc,banking,0,1,9,0,4,0
i am happy about the onboarding through videokyc account opening process with ease and speed,banking,2,2,3,2,5,0
had a wonderful experience with the relationship manager of malleswaram bangalore branch was extremely helpful and guided wherever it was necessary very helpful and polite officer,banking,2,2,9,2,6,0
overall good user friendly all in one place excellent,banking,2,2,13,1,5,0
simultaneously issuing of debit card,banking,2,6,7,1,4,0
very good experience have a great work from idfc team,banking,2,2,5,2,5,0
kyc idfc first bank,banking,1,5,13,1,4,0
it was a great experience as the services received were very satisfying and exceeded our expectations special mention for ms bhumi who was readily available in providing instant support wherever required wish all the best,banking,2,2,5,2,5,0
bank services are so good,banking,2,2,13,1,4,0
the overall experience is great but i think you should mention it in more places than one where the interest is there only if you have l in your account,banking,1,3,13,1,5,0
video kyc conenctivity was an issue,banking,0,1,13,0,4,0
account accept kiya jaye,banking,1,5,13,1,4,0
minimum balance of rs for senior citizen is my primary concern,banking,1,5,8,1,4,0
minimum balance could be kept as rs account opening was very fast and hassle free,banking,1,5,8,1,4,0
the document verification team should know what a title deed ownership document is they were looking for expiry date of the document assuming it was a rental agreement i provided the government web site were the validity of the document can be verified but was not accepted by the team similarly i provided the latest utility bill for gas connection the bill clearly says its for a quarter issued every months the team did not accept it they demanded monthly bill,banking,0,1,13,0,4,0
i was told by dbm that account would be opened under wealth category and i should be receiving my wealth debit card within days account was not opened in wealth category and i had to follow ups to get the status and the wealth debit card overall experience with branch staff is not good had a discussion with branch manager as well and he was also sounding clueless no update was provided by branch manager as well although he promised to revert i didnt get what was promised to me so not a happy customer i have nronre accounts in other banks and services are great including the relationship manager assigned to me,banking,0,0,7,1,5,0
need credit card,banking,1,5,2,1,4,0
very smooth process of account opening,banking,2,2,5,2,6,0
great service by lokesh sir,banking,2,2,13,1,5,0
the employee name himanshu chaudhary explain the account features in a very good manner i appreciate his efforts also as he is opened this account after the banking hours,banking,2,2,3,2,6,0
i opened my account at march after days i didnt receive my atm card and cheque book,banking,0,1,7,1,4,0
hello opening a savings account with idfc first bank is easy but after opening account problem begins staff daily calls you to take policy and other things thanks,banking,0,1,13,0,6,0
good experiencei glad to open account in idfc bank,banking,2,2,13,1,4,0
please call me back on my alternate number to let me know whether its a digital or physical account if digital why rs average monthly balance required,banking,1,3,13,1,4,0
pls provide facility on branch opening k varient on branch visit your employee say that dont have account opening of k they only option k account open on branch,banking,0,1,9,1,4,0
account opening process involved toonmuch time in collecting physical copies and again asking to get different documents which were not asked before it took nearly week time with so many calls with customer executive following up with process,banking,0,1,13,1,4,0
ac me qr code scen problem,banking,0,1,13,0,4,0
idfc bank is best interest and service provide by customer,banking,2,3,13,1,4,0
none as of now the process was all fine except for the time taken which was over upto one week for the account to get activated steps to activate kids debit card was not clear and hence took a lot of time,banking,1,3,7,1,4,0
it is very good in handling account,banking,2,2,5,2,6,0
all services really good and amazing specially netbanking,banking,2,2,13,1,5,0
im very with the service from idfc first bank bandra west branch,banking,2,6,9,2,6,0
best experience as a banking customer,banking,2,6,13,1,4,0
did not receive checkbook during welcome kit,banking,0,1,13,1,4,0
very nice operation and sales staff are very frank,banking,2,2,13,1,4,0
good services from branch end,banking,2,2,9,2,6,0
it is not difficult rather impossible to reach a customer care executive through your customer care number the ivr system doesnt provide an option to speak to a human additionally i did not receive a prompt response even after writing to the ombuds team i expect customer support queries to be acknowledged and resolved within hours which is a standard i have consistently experienced with other financial institutions,banking,0,1,6,2,4,0
train your staff better,banking,0,1,13,1,4,0
the way she approached and explain the product i am impressed and account opening process took just minutes and mobile app is very much useful and sales executive know each and everything of the product and process i would appreciate that lady for quick process and response,banking,2,2,3,2,4,0
excellent service,banking,2,2,5,2,5,0
excellent service by ashish kumar kankarbagh branch,banking,2,2,9,2,5,0
you could have informed me that account being opened requires minimum balance of inr rather i could have been offered option to choose my minimum balance,banking,0,1,8,0,1,3
video kyc not working in mobile,banking,0,1,13,0,4,0
wrost coustomer care services ask for branch to visit while account open online worst experience,banking,0,1,9,0,0,2
overall great,banking,2,2,13,1,5,0
best class banking and good interaction with executive,banking,2,2,13,1,4,0
good service,banking,2,2,5,2,6,0
namaste sir your bank is very reputed and has a prominent position in india for its good service and your bank provides good support to people in their financial mattersour account was opened in your bank after getting loan approval through paisa bazarbut the way the female executive who called us for verification before giving the loan behaved with us it seems that such people are worried about your bankthe result of not giving a loan is that we have taken loans in the past but there is no late fee or check bounce or cibill rank deficiency in italso if our record is in default or we have a lot of outstanding loans we also accept that our loan may be rejected even though the title is completely clear but we are not only dependent on your bankour work is done but we are giving this reply because if you keep such staff your bank will only suffer losses in the long run we are not sad that we did not get the loan but we are sad that we did not get the right resultand it also makes sense that you need customers with defaulters and late fees as well as those who are not practical rather than those with good recordsfinally i would like to say that i am sorry that you could not complete our valuation and that due to your failure we were lucky to get a loan from a better bank than yours and at a lower interest rate your policy was goodalso in the coming days we will make this thing viral in our account credit card account my husbands credit card account as well as in our group circle whatsapp group instagram and we will inform you that idfc bank this type of service is provided so that we can show everyone our own experience of not opening an account in this bank,banking,0,1,2,0,3,3
after visiting branch my kyc is pending staff tells me to come later but after calling they tell me to come other day it irritates me,banking,0,0,9,0,4,0
overall experience is good but idfc first bank app user interface and experience is average also need to improvement for understand easy way,banking,1,5,3,2,4,1
thank you athira for your support in my account opening journey,banking,2,2,5,2,6,0
i want idfc bank credit card please provide me,banking,1,5,2,1,4,0
i was a very good experience in opening account with idfc,banking,2,2,5,2,6,0
very very good experience and growing bank is this,banking,2,2,5,2,6,0
if anyone opening account through aadhar card so why physically verification required,banking,1,3,13,1,4,0
good overall experience easy website process,banking,2,2,13,1,4,0
i am fully satisfied with the professional approach demonstrated by your officials before during and after the account opening process,banking,2,2,3,2,6,0
havent receive the atm card delivered i need the branch to readdress,banking,0,1,7,0,1,3
the kyc video had some glitches when i try to complete for the first few attempts or may be the kyc rep did not join the video call could have caused the issue,banking,0,1,13,0,4,0
yes fix the issues in the account opening process that caused mismatch of the fullname all the process mentioned below should be digital like account opening signature update reekyc name updates and account closure,banking,1,1,13,0,4,0
your executive have given me wrong information about the account features and given wrong commitments after that he is not picking my calls and not responding since last days very unprofessional behaviour,banking,0,1,6,2,4,0
no improvement all good thanks to the banking agent to make process seamless,banking,2,2,13,1,6,0
good experience,banking,2,2,13,1,4,0
inspire of back office telephonic confirmation back office has frequently about times rejected the proposal and delayed the account name addition process while fdr application kept pending for this reason not known what they wanted and who fulfilled those deficiencies similarly cheque deposited for clearing was also abnormally delayed kept in branch for about days before sending it for clearance all those emails sent raising these grievances are unanswered till date,banking,0,0,3,0,4,0
time taken to open account should be minimize,banking,1,5,13,1,4,0
keep up the good work,banking,2,2,13,1,4,0
i found that a customer should not pick up your bank customer care executive call to open a savings account as he will not come forward to help if any issue arises at the same time bank employees in the account related branch wont respect or cooperate as they lost business for not opening account directly with the bank from the new customer now i cant find your customer care executive who advised me to open online account to resolve my issue or cant get cooperation from your branch employees in bangalore yelahanka branch to get resolved my issues this is management fault who cant coordinate online customer care executives and bank employees a customer should need to maintain good relationship with his own bran employees but online phone call executives spoiling these relationship joining in between but management dont want to sort out thus issues as they want only business this is management fault i didnt get my desired debit card because i opened online savings account with the advice of customer care executive,banking,0,1,7,0,1,3
compulsory account open for granting loan is not good thing,banking,0,1,2,1,1,2
firstly please have the option of opening a joint account online as well if you cannot then do not mislead potential customers to the link of single account opening secondly the bank executives should be trained more on the basic understanding of joint account my bank executives never mentioned tht we will get two customer ids for transactions i got to know abt it when i called customer care to enquire why all otps goes to other mobile number and not my mine,banking,0,1,6,1,4,0
dear sirmadam i got the consumer loan within minutes we decided to operate the saving account as well as current account also we open the on line saving account complete the video kyc but still cant operate this because of kyc in progress sorry to say this is very bad experience,banking,0,1,2,0,1,3
good service continue,banking,2,2,5,2,6,0
jaspreet kunal are very much knowledgeable to provide explanation to me about the saving account i will encourage them to continue the good service to every clients keep up the good work jaswant singh,banking,2,2,5,2,6,0
st tell me reason to why i am unable to do transaction,banking,0,1,13,1,4,0
limit for online and offline should be calculate by system by itswlf we ahould not assign it,banking,0,1,13,0,4,0
i told the bank relationship manager about the nature of transaction i would undertake even though it was beyond the maximum net banking transfer limit of inr,banking,0,1,13,1,4,0
now it is taking time to increase the limit which is affecting my work,banking,0,0,13,1,4,0
interest rate and monthly interest debit in to account,banking,1,3,10,1,4,0
need to change process,banking,0,1,13,1,4,0
how the customer will know about rewards on first transaction in advance,banking,0,1,11,1,4,0
there is no clarity,banking,0,1,13,1,4,0
is it through upi or bank transfer etc,banking,0,1,13,1,4,0
after transaction its should not came please check your network connection please try again after sometime this should be corrected,banking,0,1,13,1,4,0
please transaction limit increase,banking,0,1,13,1,4,0
still not working after almost two weeks failed to even transfer money into my nro acct not sure how long will it take and the overall process is not clear,banking,0,0,13,0,4,0
add online joint account facility,banking,1,5,13,1,4,0
should be able to open joint account irrespective of the present address since you can take adhaar consent to self sign current address,banking,1,5,13,1,4,0
adding option to open select and wealth saving account online would be more beneficial and time saving for customers,banking,1,5,13,1,4,0
its should be in one attempt,banking,0,1,13,1,4,0
data fed by the agent while opening the account should be shown to the potential customer for correctness,banking,1,5,13,1,4,0
after open the account fred back should be taken on call how was experience,banking,1,3,13,1,4,0
give scanner facility for all account,banking,1,5,13,1,4,0
only one thing please keep this quick and easy overall costumer services for future also we should receive same or more better services in future,banking,2,6,13,1,4,0
have a direct online process for joint account,banking,1,3,13,1,4,0
as for opening account more details must be given about all features of the banking services,banking,1,3,13,1,4,0
isme ek suggestions he ki kise bhi death ho vo usme cover hojana chiye baki sab baraber he,banking,1,5,13,1,4,0
it wld be better to be responsive in the beginning at the start instead of rushing at the end when the customer doesnt have time to complete the formalities,banking,0,1,13,1,4,0
ji kuchh bank health insurance or smart cash policy dete hai jaise ki kotak mahindra bank agar vo skeem or hoti to or achha tha,banking,1,5,13,1,4,0
make process smoothened,banking,1,3,13,1,4,0
proper dissemination of information coupled with implementation of assurances should be the prerogative,banking,1,3,2,1,4,0
nothing much,banking,1,5,13,1,4,0
just a suggestion to increase the strength of your team,banking,1,5,13,1,4,0
it seems a lot of burden on one person,banking,0,1,13,1,4,0
make your team bigger,banking,1,5,13,1,4,0
offer customers more choices not just basic account,banking,1,5,11,1,4,0
pl take care give preference to senior citizen whether dealing with saving ac or other txn,banking,1,5,13,1,4,0
i would suggesta hard copy of fdr must be given to the depositor as soft copy may not serve good purpose for family in case of future need i am not provided a hard copy of fdr made at jamnagar branch on kindly do needful,banking,0,1,9,2,4,0
the account was first opened in my name and later added the joint holder,banking,1,5,13,0,4,0
it would have been better if the whole process is completed in one go rather than two steps,banking,0,1,13,1,4,0
time limit and amount limit on adding fresh beneficiary,banking,0,1,13,1,4,0
to understand the customer need and to give right direction or suggestions,banking,1,5,13,1,4,0
